,output_testInput,output_MR,MR_checker
0,7,21,Not-violated
1,44,132,Violated
2,4,12,Violated
3,-15,-45,Violated
4,39,117,Not-violated
5,27,81,Not-violated
6,-9,-27,Violated
7,20,60,Violated
8,32,96,Violated
9,-15,-45,Not-violated
10,-79,-237,Violated
11,-9,-27,Violated
12,40,120,Not-violated
13,51,153,Not-violated
14,37,111,Violated
15,-21,-63,Violated
16,10,30,Not-violated
17,-13,-39,Violated
18,-32,-96,Violated
19,9,27,Not-violated
20,-26,-78,Not-violated
21,-15,-45,Violated
22,74,222,Not-violated
23,-17,-51,Not-violated
24,90,270,Violated
25,-14,-42,Not-violated
26,-36,-108,Violated
27,-48,-144,Violated
28,-12,-36,Not-violated
29,-35,-105,Violated
30,-36,-108,Violated
31,36,108,Not-violated
32,-4,-12,Not-violated
33,57,171,Not-violated
34,-23,-69,Violated
35,9,27,Not-violated
36,-9,-27,Not-violated
37,-4,-12,Violated
38,88,264,Not-violated
39,-99,-297,Violated
40,-30,-90,Violated
41,22,66,Not-violated
42,39,117,Not-violated
43,-48,-144,Violated
44,16,48,Not-violated
45,6,18,Violated
46,16,48,Violated
47,-46,-138,Violated
48,-8,-24,Not-violated
49,-23,-69,Not-violated
50,35,105,Not-violated
51,53,159,Not-violated
52,10,30,Violated
53,9,27,Not-violated
54,-21,-63,Not-violated
55,-2,-6,Violated
56,19,57,Not-violated
57,-35,-105,Violated
58,-31,-93,Not-violated
59,-40,-120,Violated
60,8,24,Violated
61,14,42,Not-violated
62,8,24,Not-violated
63,-16,-48,Not-violated
64,35,105,Not-violated
65,4,12,Violated
66,-32,-96,Not-violated
67,-11,-33,Violated
68,18,54,Not-violated
69,-60,-180,Violated
70,22,66,Not-violated
71,49,147,Not-violated
72,48,144,Not-violated
73,6,18,Not-violated
74,-9,-27,Violated
75,29,87,Not-violated
76,25,75,Not-violated
77,54,162,Not-violated
78,5,15,Violated
79,-10,-30,Not-violated
80,13,39,Not-violated
81,-33,-99,Not-violated
82,29,87,Not-violated
83,-120,-360,Violated
84,-34,-102,Violated
85,47,141,Not-violated
86,23,69,Not-violated
87,-15,-45,Violated
88,28,84,Not-violated
89,-33,-99,Violated
90,51,153,Violated
91,-53,-159,Not-violated
92,14,42,Violated
93,13,39,Violated
94,6,18,Violated
95,-44,-132,Violated
96,35,105,Not-violated
97,0,0,Violated
98,-34,-102,Not-violated
99,56,168,Violated
100,25,75,Violated
101,-34,-102,Violated
102,-49,-147,Violated
103,16,48,Not-violated
104,-76,-228,Violated
105,-31,-93,Not-violated
106,-14,-42,Violated
107,10,30,Not-violated
108,3,9,Violated
109,30,90,Violated
110,26,78,Not-violated
111,2,6,Not-violated
112,-14,-42,Not-violated
113,-32,-96,Violated
114,-31,-93,Not-violated
115,-10,-30,Violated
116,24,72,Violated
117,-71,-213,Violated
118,25,75,Violated
119,24,72,Violated
120,-65,-195,Violated
121,8,24,Violated
122,-8,-24,Not-violated
123,-5,-15,Violated
124,-44,-132,Violated
125,-24,-72,Not-violated
126,3,9,Violated
127,5,15,Violated
128,-48,-144,Violated
129,21,63,Not-violated
